,L,T,Tmax,alpha,beta,clamp,conv_condition,conv_steps,conv_time,ctol_abs,ctol_rel,ht,ht_x,hx,hy_t,ixt,ixy,iyt,p0,ptol,repeat,repeats,zeroLtol
1,-3.345110361379013e-17,1.0,90.0,0.0,0.1615055828898458,False,small_abs_changes_AND_force_single,1.0,4.733759164810181,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,1.0,1e-08,0.0,1.0,1.0
2,0.0,1.0,90.0,0.0,0.19380669946781492,False,small_abs_changes_AND_force_single,1.0,4.73887300491333,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,1.0,1e-08,0.0,1.0,1.0
3,9.278117696399853e-17,1.0,90.0,0.0,0.2325680393613779,False,small_abs_changes_AND_force_single,1.0,4.748938083648682,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,1.0,1e-08,0.0,1.0,1.0
4,1.7540594243309657e-16,1.0,90.0,0.0,0.2790816472336535,False,small_abs_changes_AND_force_single,1.0,4.7065510749816895,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,1.0,1e-08,0.0,1.0,1.0
5,0.0,1.0,90.0,0.0,0.3348979766803842,False,small_abs_changes_AND_force_single,1.0,4.706255912780762,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,1.0,1e-08,0.0,1.0,1.0
6,0.0,1.0,90.0,0.0,0.40187757201646096,False,small_abs_changes_AND_force_single,1.0,4.755892038345337,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,1.0,1e-08,0.0,1.0,1.0
7,0.0,1.0,90.0,0.0,0.4822530864197532,False,small_abs_changes_AND_force_single,1.0,4.735572099685669,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,1.0,1e-08,0.0,1.0,1.0
8,0.0,1.0,90.0,0.0,0.5787037037037037,False,small_abs_changes_AND_force_single,1.0,4.714915990829468,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,1.0,1e-08,0.0,1.0,1.0
9,0.0,1.0,90.0,0.0,0.6944444444444445,False,small_abs_changes_AND_force_single,1.0,4.709753036499023,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,1.0,1e-08,0.0,1.0,1.0
10,1.1599547157853838e-15,1.0,90.0,0.0,0.8333333333333334,False,small_abs_changes_AND_force_single,1.0,4.764358043670654,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,1.0,1e-08,0.0,1.0,1.0
11,1.4560141890187586e-15,1.0,90.0,0.0,1.0,False,small_abs_changes_AND_force_single,1.0,4.741145133972168,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,1.0,1e-08,0.0,1.0,1.0
12,1.8112855568988086e-15,1.0,90.0,0.0,1.2,False,small_abs_changes_AND_force_single,1.0,4.740213871002197,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,1.0,1e-08,0.0,1.0,1.0
13,2.2376111983548687e-15,1.0,90.0,0.0,1.44,False,small_abs_changes_AND_force_single,1.0,4.725780963897705,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,1.0,1e-08,0.0,1.0,1.0
14,0.0,1.0,90.0,0.0,1.7279999999999998,False,small_abs_changes_AND_force_single,1.0,4.751131057739258,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,1.0,1e-08,0.0,1.0,1.0
15,0.0,1.0,90.0,0.0,2.0736,False,small_abs_changes_AND_force_single,1.0,5.0305280685424805,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,1.0,1e-08,0.0,1.0,1.0
16,0.0,1.0,90.0,0.0,2.4883199999999994,False,small_abs_changes_AND_force_single,1.0,4.967885971069336,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,1.0,1e-08,0.0,1.0,1.0
17,4.983830450358224e-15,1.0,90.0,0.0,2.9859839999999993,False,small_abs_changes_AND_force_single,1.0,4.749890089035034,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,1.0,1e-08,0.0,1.0,1.0
18,0.0,1.0,90.0,0.0,3.583180799999999,False,small_abs_changes_AND_force_single,1.0,4.748399019241333,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,1.0,1e-08,0.0,1.0,1.0
19,0.0,1.0,90.0,0.0,4.2998169599999985,False,small_abs_changes_AND_force_single,1.0,4.765230894088745,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,1.0,1e-08,0.0,1.0,1.0
20,-0.09423360252957558,90.0,90.0,0.0,5.1597803519999985,False,small_abs_changes,1.0,4.752524137496948,0.001,0.0,6.491853096329674,0.0,6.491853096329676,8.967078979967672,6.491853096329674,1.2764277255147896,1.2764277255147878,1.0,1e-08,0.0,1.0,1.0
21,0.0,1.0,90.0,0.1,0.1615055828898458,False,single_cluster,6.0,15.36594009399414,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,0.75,1e-08,0.0,1.0,1.0
22,0.0,1.0,90.0,0.1,0.1615055828898458,True,single_cluster,7.0,15.368923902511597,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,0.75,1e-08,0.0,1.0,1.0
23,2.392720573975016e-17,1.0,90.0,0.1,0.19380669946781492,False,small_abs_changes_AND_cost_func_rel_inc_AND_force_single,5.0,14.953922033309937,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,0.75,1e-08,0.0,1.0,1.0
24,2.392720573975016e-17,1.0,90.0,0.1,0.19380669946781492,True,small_abs_changes_AND_cost_func_rel_inc_AND_force_single,6.0,14.95688796043396,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,0.75,1e-08,0.0,1.0,1.0
25,9.278117696399853e-17,1.0,90.0,0.1,0.2325680393613779,False,small_abs_changes_AND_force_single,5.0,15.041522979736328,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,0.75,1e-08,0.0,1.0,1.0
26,9.278117696399853e-17,1.0,90.0,0.1,0.2325680393613779,True,small_abs_changes_AND_force_single,6.0,15.044594049453735,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,0.75,1e-08,0.0,1.0,1.0
27,0.0,1.0,90.0,0.1,0.2790816472336535,False,small_abs_changes_AND_cost_func_rel_inc_AND_force_single,5.0,15.48041296005249,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,0.75,1e-08,0.0,1.0,1.0
28,0.0,1.0,90.0,0.1,0.2790816472336535,True,small_abs_changes_AND_cost_func_rel_inc_AND_force_single,6.0,15.483405828475952,0.001,0.0,0.0,0.0,6.491853096329676,10.24350670548246,0.0,1.2764277255147896,0.0,0.75,1e-08,0.0,1.0,1.0
29,2.7455566099601426e-16,1.0,90.0,0.1,0.3348979766803842,False,small_abs_changes_AND_force_single,5.0,15.44076919555664,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,0.75,1e-08,0.0,1.0,1.0
30,2.7455566099601426e-16,1.0,90.0,0.1,0.3348979766803842,True,small_abs_changes_AND_force_single,6.0,15.444996118545532,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,0.75,1e-08,0.0,1.0,1.0
31,3.9353532327151537e-16,1.0,90.0,0.1,0.40187757201646096,False,small_abs_changes_AND_force_single,5.0,15.072957992553711,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,0.75,1e-08,0.0,1.0,1.0
32,3.9353532327151537e-16,1.0,90.0,0.1,0.40187757201646096,True,small_abs_changes_AND_force_single,6.0,15.075931072235107,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,0.75,1e-08,0.0,1.0,1.0
33,5.363109180021168e-16,1.0,90.0,0.1,0.4822530864197532,False,small_abs_changes_AND_force_single,5.0,15.20254397392273,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,0.75,1e-08,0.0,1.0,1.0
34,5.363109180021168e-16,1.0,90.0,0.1,0.4822530864197532,True,small_abs_changes_AND_force_single,6.0,15.20560598373413,0.001,0.0,-3.2034265038149176e-16,0.0,6.491853096329676,10.243506705482462,-3.2034265038149176e-16,1.2764277255147896,-1.7763568394002505e-15,0.75,1e-08,0.0,1.0,1.0
35,0.9268420707433925,3.0,90.0,0.1,0.5787037037037037,False,small_abs_changes_AND_cost_func_rel_inc,5.0,15.30408000946045,0.001,0.0,1.5849625006620047,4.871423067823371e-05,6.491853096329676,9.10628302040216,1.5849137864313265,1.2764277255147896,1.1372236850803006,0.75,1e-08,0.0,1.0,1.0
36,0.926842832451385,3.0,90.0,0.1,0.5787037037037037,True,small_abs_changes_AND_cost_func_rel_inc,6.0,15.30805516242981,0.001,0.0,1.584962500721156,0.0,6.491853096329676,9.106275918712296,1.584962500721156,1.2764277255147896,1.1372307867701643,0.75,1e-08,0.0,1.0,1.0
